Simulation started at 11:18:44 ended at 11:21:12
step;time;inTrucks[#];Total distance[km/T.U];Average Speed[km/h/truck];parked[#];Parkings[%];Total CO2[g/T.U];Total NOx[g/T.U];TWT [T.U];inPort[#];Current Trucks[#]
1;0.016666666666666666;0;0;0;0;0.0;0;0;0;0;0;
60;1.0;0;0;0;0;0.0;0;0;0;0;0;
120;2.0;0;0;0;0;0.0;0;0;0;0;0;
180;3.0;0;0;0;0;0.0;0;0;0;0;0;
240;4.0;0;0;0;0;0.0;0;0;0;0;0;
300;5.0;0;0;0;0;0.0;0;0;0;0;0;
360;6.0;0;0;0;0;0.0;0;0;0;0;0;
420;7.0;2;1.2818073224490976;8.81679438919388;0;0.0;180.19063314408947;0.0772520094979387;2;0;2;
480;8.0;4;108.32913386265926;75.1604597867978;0;0.0;954.7889460556001;0.3783175601899673;2;0;4;
540;9.0;4;373.4142878090988;68.25163530557444;0;0.0;1131.3709649342609;0.4441214106255374;0;0;4;
600;10.0;4;609.8702453629923;46.301974954101944;0;0.0;772.0020496418894;0.30556508484849054;11;0;4;
660;11.0;4;711.4681747049356;13.158486677670746;1;16.666666666666668;246.98765455859063;0.09922047919566682;121;0;4;
720;12.0;5;758.8388813381906;10.453247212389366;1;16.666666666666668;262.50223108149856;0.10395450624736352;192;0;5;
780;13.0;5;802.7271564177935;6.978188183942269;1;16.666666666666668;316.33835430706836;0.13423736466682168;240;0;5;
840;14.0;5;827.4451609785235;7.8603243240690155;1;16.666666666666668;464.7744024660826;0.20147772335064268;237;0;4;
900;15.0;5;695.6078126442269;13.184183013677101;1;16.666666666666668;557.1652074496902;0.24252922133475646;180;0;4;
960;16.0;5;735.3979843253942;7.114951758558346;1;16.666666666666668;459.5414190393959;0.2024725293125545;187;0;4;
1020;17.0;7;756.250031740098;6.7589050675863405;1;16.666666666666668;483.7464864472632;0.21062369159791616;242;0;6;
1080;18.0;8;827.7697708600743;13.23958096469544;1;16.666666666666668;563.4651412547381;0.23507985670866352;241;0;7;
1140;19.0;8;891.6153013478721;17.33683275048979;1;16.666666666666668;969.2549773119947;0.4089077102372741;232;0;6;
1200;20.0;10;904.760100448697;33.72659961337112;1;16.666666666666668;1263.4834402926847;0.5134140227402054;182;0;8;
1260;21.0;10;1165.9213836825472;31.63567837192405;0;0.0;1410.528766309953;0.5802921336384936;120;0;8;
1320;22.0;10;1307.1326803836316;10.56044038737172;1;16.666666666666668;1057.7348394003068;0.4609145940864227;287;0;7;
1380;23.0;10;1159.5193864380735;7.094323126153782;1;16.666666666666668;683.8779559293716;0.29984829825952475;296;0;6;
1440;24.0;10;1034.9295790488422;4.0609839954301155;1;16.666666666666668;587.4124814383565;0.26292321579233974;290;0;6;
1500;25.0;10;870.176194982726;3.743594337803277;1;16.666666666666668;448.9434356431571;0.20011481491790317;237;0;5;
1560;26.0;10;876.7350898852484;1.0941340052257764;1;16.666666666666668;455.0197154063682;0.20730328266227765;277;0;5;
1620;27.0;10;723.9412891410235;0.0;1;16.666666666666668;341.2138888888889;0.15657777777777773;250;0;4;
1680;28.0;10;345.26782000000014;-21474836.48;1;16.666666666666668;181.1058333333333;0.08310666666666669;135;0;1;
1740;29.0;10;106.5977999999999;0.0;1;16.666666666666668;0;0;60;0;1;
1800;30.0;10;106.5977999999999;0.0;1;16.666666666666668;0;0;60;0;1;
1860;31.0;10;106.5977999999999;0.0;1;16.666666666666668;0;0;60;0;1;
1920;32.0;10;107.74544545133317;6.23263268754082;0;0.0;53.814588573568145;0.023045938095100152;45;0;1;
1980;33.0;10;132.4290223293496;36.173873197283676;0;0.0;202.43002421285644;0.08348118450788347;0;0;1;
2040;34.0;10;172.3149012724916;42.45812836912266;0;0.0;173.06058393850807;0.06673731004796864;0;0;1;
2100;35.0;10;203.78928372094975;13.6226451466697;0;0.0;73.04467285408782;0.03015376750023566;30;0;1;
2160;36.0;10;205.6719539862612;0.0;0;0.0;0;0;60;0;1;
2220;37.0;10;205.4153999999998;0.0;0;0.0;0;0;60;0;1;
